,game_id,datetime,date,time,home_name,home_abbrev,visitor_name,visitor_abbrev,home_score,visitor_score,home_prob,visitor_prob,overtime_prob,time_str,home_logo,visitor_logo,home_record,home_rank,visitor_record,visitor_rank
749,2024020750,2025-01-21T19:00:00,2025-01-21,19:00:00,New York Rangers,NYR,Ottawa Senators,OTT,4.985236364816267,3.0668246702139585,0.7739821445260118,0.22601785547398826,0.11507748134453855,7:00 PM,https://assets.nhle.com/logos/nhl/svg/NYR_dark.svg,https://assets.nhle.com/logos/nhl/svg/OTT_dark.svg,2-0-1,1st,2-1-0,1st
750,2024020751,2025-01-21T19:00:00,2025-01-21,19:00:00,Philadelphia Flyers,PHI,Detroit Red Wings,DET,3.619758717115391,3.2004189414537296,0.5731006898900284,0.4268993101099716,0.15398912999649317,7:00 PM,https://assets.nhle.com/logos/nhl/svg/PHI_dark.svg,https://assets.nhle.com/logos/nhl/svg/DET_dark.svg,1-1-0,1st,1-2-0,1st
751,2024020752,2025-01-21T20:00:00,2025-01-21,20:00:00,Nashville Predators,NSH,San Jose Sharks,SJS,4.314290948977284,2.6631446068631504,0.7624788520025129,0.23752114799748714,0.12822181147558004,8:00 PM,https://assets.nhle.com/logos/nhl/svg/NSH_dark.svg,https://assets.nhle.com/logos/nhl/svg/SJS_dark.svg,0-2-0,1st,0-1-1,1st
752,2024020753,2025-01-21T20:00:00,2025-01-21,20:00:00,Dallas Stars,DAL,Carolina Hurricanes,CAR,2.9752673447841897,2.979883365792352,0.49911839266263147,0.5008816073373685,0.16731550874476953,8:00 PM,https://assets.nhle.com/logos/nhl/svg/DAL_dark.svg,https://assets.nhle.com/logos/nhl/svg/CAR_dark.svg,3-0-0,1st,0-1-0,1st
753,2024020754,2025-01-21T21:00:00,2025-01-21,21:00:00,Edmonton Oilers,EDM,Washington Capitals,WSH,4.6239501664113885,3.2019222072317897,0.7153404589568535,0.2846595410431465,0.12845238349748744,9:00 PM,https://assets.nhle.com/logos/nhl/svg/EDM_dark.svg,https://assets.nhle.com/logos/nhl/svg/WSH_dark.svg,0-3-0,1st,0-1-0,1st
754,2024020755,2025-01-21T22:00:00,2025-01-21,22:00:00,Vancouver Canucks,VAN,Buffalo Sabres,BUF,4.029957941089602,3.3717911246268653,0.6079222581069372,0.39207774189306277,0.14530919015111632,10:00 PM,https://assets.nhle.com/logos/nhl/svg/VAN_dark.svg,https://assets.nhle.com/logos/nhl/svg/BUF_dark.svg,0-0-2,1st,1-3-0,1st
755,2024020756,2025-01-21T22:00:00,2025-01-21,22:00:00,Anaheim Ducks,ANA,Florida Panthers,FLA,2.6550401974291598,4.32539782790989,0.23502404190307377,0.7649759580969262,0.12764693625242585,10:00 PM,https://assets.nhle.com/logos/nhl/svg/ANA_dark.svg,https://assets.nhle.com/logos/nhl/svg/FLA_dark.svg,1-1-0,1st,2-2-0,1st
756,2024020757,2025-01-22T19:30:00,2025-01-22,19:30:00,Toronto Maple Leafs,TOR,Columbus Blue Jackets,CBJ,4.845607494573853,2.6059102454980905,0.8230678009222397,0.17693219907776025,0.10806590348157134,7:30 PM,https://assets.nhle.com/logos/nhl/svg/TOR_dark.svg,https://assets.nhle.com/logos/nhl/svg/CBJ_dark.svg,2-1-0,1st,1-1-0,1st
757,2024020758,2025-01-22T19:00:00,2025-01-22,19:00:00,New Jersey Devils,NJD,Boston Bruins,BOS,3.418081895018039,3.168787586620155,0.544602564338248,0.455397435661752,0.15800831735179888,7:00 PM,https://assets.nhle.com/logos/nhl/svg/NJD_dark.svg,https://assets.nhle.com/logos/nhl/svg/BOS_dark.svg,4-1-0,1st,2-2-0,1st
758,2024020759,2025-01-22T21:30:00,2025-01-22,21:30:00,Colorado Avalanche,COL,Winnipeg Jets,WPG,3.3200092424510808,3.453424076542312,0.47651822918020337,0.5234817708197966,0.1562061744334813,9:30 PM,https://assets.nhle.com/logos/nhl/svg/COL_dark.svg,https://assets.nhle.com/logos/nhl/svg/WPG_dark.svg,0-3-0,1st,3-0-0,1st
759,2024020760,2025-01-22T22:00:00,2025-01-22,22:00:00,Los Angeles Kings,LAK,Florida Panthers,FLA,3.0054467424220634,3.3661598701111863,0.43425393017546027,0.5657460698245398,0.15997416717907106,10:00 PM,https://assets.nhle.com/logos/nhl/svg/LAK_dark.svg,https://assets.nhle.com/logos/nhl/svg/FLA_dark.svg,1-0-2,1st,2-2-0,1st
760,2024020761,2025-01-23T19:00:00,2025-01-23,19:00:00,Boston Bruins,BOS,Ottawa Senators,OTT,4.408381063683279,3.1169981651744147,0.7023335052719261,0.29766649472807394,0.1334385985410544,7:00 PM,https://assets.nhle.com/logos/nhl/svg/BOS_dark.svg,https://assets.nhle.com/logos/nhl/svg/OTT_dark.svg,2-2-0,1st,2-1-0,1st
761,2024020762,2025-01-23T19:00:00,2025-01-23,19:00:00,Detroit Red Wings,DET,Montréal Canadiens,MTL,4.121927596593261,3.3996882654448166,0.6168724700732602,0.3831275299267398,0.14336659863678414,7:00 PM,https://assets.nhle.com/logos/nhl/svg/DET_dark.svg,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,1-2-0,1st,2-2-0,1st
762,2024020763,2025-01-23T19:00:00,2025-01-23,19:00:00,New York Rangers,NYR,Philadelphia Flyers,PHI,4.179899463551703,2.706195727661512,0.7399263531969996,0.2600736468030004,0.13381736327845348,7:00 PM,https://assets.nhle.com/logos/nhl/svg/NYR_dark.svg,https://assets.nhle.com/logos/nhl/svg/PHI_dark.svg,2-0-1,1st,1-1-0,1st
763,2024020764,2025-01-23T19:00:00,2025-01-23,19:00:00,Carolina Hurricanes,CAR,Columbus Blue Jackets,CBJ,4.402408975276576,2.3021977200440995,0.8245144699712994,0.1754855300287006,0.11527480087898695,7:00 PM,https://assets.nhle.com/logos/nhl/svg/CAR_dark.svg,https://assets.nhle.com/logos/nhl/svg/CBJ_dark.svg,0-1-0,1st,1-1-0,1st
764,2024020765,2025-01-23T20:00:00,2025-01-23,20:00:00,St. Louis Blues,STL,Vegas Golden Knights,VGK,3.22195450625458,3.7618911392958494,0.40764295887125723,0.5923570411287427,0.15096936943728254,8:00 PM,https://assets.nhle.com/logos/nhl/svg/STL_dark.svg,https://assets.nhle.com/logos/nhl/svg/VGK_dark.svg,2-1-0,1st,3-0-0,1st
765,2024020766,2025-01-23T20:00:00,2025-01-23,20:00:00,Minnesota Wild,MIN,Utah Hockey Club,UTA,4.270595148112225,3.2367000770880057,0.6649515170676424,0.33504848293235756,0.1386834259069164,8:00 PM,https://assets.nhle.com/logos/nhl/svg/MIN_dark.svg,https://assets.nhle.com/logos/nhl/svg/UTA_dark.svg,1-0-2,1st,3-1-0,1st
766,2024020767,2025-01-23T21:00:00,2025-01-23,21:00:00,Calgary Flames,CGY,Buffalo Sabres,BUF,3.60926574414616,3.3732052542201387,0.540685694938621,0.459314305061379,0.15336572398148063,9:00 PM,https://assets.nhle.com/logos/nhl/svg/CGY_dark.svg,https://assets.nhle.com/logos/nhl/svg/BUF_dark.svg,3-0-0,1st,1-3-0,1st
