,PlayerID,Player,Team,Position,Headshot,Team Logo,playerStripped,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
577,8473449,Kyle Okposo,FLA,R,https://assets.nhle.com/mugs/nhl/20232024/FLA/8473449.png,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,kyleokposo,67,894.63333333333,12,10,7,3,22,66.67,115,10.43,12.59,195,154,117,63,6,22,34,13,12,0,1,8,12,20,63,54,35,131,144,47.64
578,8480821,Filip Zadina,SJS,R,https://assets.nhle.com/mugs/nhl/20232024/SJS/8480821.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,filipzadina,72,960.46666666667,13,10,5,5,23,76.67,137,9.49,14.43,267,196,130,62,6,31,18,8,8,0,0,15,19,29,46,40,28,15,53,22.06
579,8481601,Simon Holmstrom,NYI,R,https://assets.nhle.com/mugs/nhl/20232024/NYI/8481601.png,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,simonholmstrom,75,998.95,15,10,10,0,25,59.52,72,20.83,8.73,152,115,91,45,9,6,14,7,7,0,0,8,19,53,19,55,46,6,13,31.58
580,8481554,Kaapo Kakko,NYR,R,https://assets.nhle.com/mugs/nhl/20232024/NYR/8481554.png,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,kaapokakko,61,810.03333333333,13,6,4,2,19,59.38,91,14.29,8.5,170,129,78,37,3,12,24,10,10,0,0,8,16,17,24,59,18,13,10,56.52
581,8481604,Pavel Dorofeyev,VGK,L,https://assets.nhle.com/mugs/nhl/20232024/VGK/8481604.png,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,paveldorofeyev,47,624.0,13,11,7,4,24,72.73,97,13.40,11.54,174,141,108,51,6,16,12,6,6,0,0,5,14,19,16,36,23,2,2,50.00
582,8480216,Jacob Peterson,SJS,C,https://assets.nhle.com/mugs/nhl/20232024/SJS/8480216.png,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,jakepeterson,6,79.5,0,0,0,0,0,0.00,3,0.00,0.74,5,5,5,2,0,1,2,1,1,0,0,2,0,0,5,3,5,15,33,31.25
583,8476897,Oskar Sundqvist,STL,C,https://assets.nhle.com/mugs/nhl/20232024/STL/8476897.png,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,oskarsundqvist,71,940.73333333333,6,15,11,4,21,63.64,68,8.82,10.44,136,112,78,42,4,8,32,16,16,0,0,23,13,26,73,67,49,247,342,41.94
584,8479351,Sam Steel,DAL,C,https://assets.nhle.com/mugs/nhl/20232024/DAL/8479351.png,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,samsteel,77,1019.6166666667,9,15,13,2,24,68.57,86,10.47,9.67,161,127,85,49,9,10,29,13,12,1,0,12,18,28,53,93,32,94,115,44.98
585,8479353,Brett Howden,VGK,C,https://assets.nhle.com/mugs/nhl/20232024/VGK/8479353.png,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,bretthowden,72,952.36666666667,8,11,9,2,19,50.00,76,10.53,9.49,131,105,88,43,5,15,29,13,12,1,0,11,21,30,76,73,51,165,201,45.08
586,8477971,Andreas Englund,LAK,D,https://assets.nhle.com/mugs/nhl/20232024/LAK/8477971.png,https://assets.nhle.com/logos/nhl/svg/LAK_20192020-20232024_light.svg,andreasenglund,82,1084.2333333333,1,9,2,7,10,25.64,42,2.38,1.38,111,57,33,3,0,16,81,24,13,11,0,25,22,8,180,109,87,0,0,-
587,8482155,Alex Laferriere,LAK,R,https://assets.nhle.com/mugs/nhl/20232024/LAK/8482155.png,https://assets.nhle.com/logos/nhl/svg/LAK_20192020-20232024_light.svg,alexlaferriere,81,1070.8333333333,12,11,7,4,23,58.97,146,8.22,16.5,318,236,176,74,6,32,46,20,18,2,0,18,26,21,107,113,27,7,6,53.85
588,8481161,Jake Christiansen,CBJ,D,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8481161.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,jakechristiansen,12,158.63333333333,0,2,1,1,2,40.00,7,0.00,0.33,21,14,3,1,0,2,2,1,1,0,0,0,2,2,8,10,15,0,0,-
589,8478011,Louie Belpedio,PHI,D,https://assets.nhle.com/mugs/nhl/20232024/PHI/8478011.png,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,louiebelpedio,12,158.43333333333,2,2,1,1,4,44.44,12,16.67,0.6,21,14,8,3,0,2,0,0,0,0,0,0,2,4,14,6,18,0,0,-
