,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points,TOI
303,8477946,Dylan Larkin,C,DET,28,0.0,0.0,0.0,0.0,0.0
304,8477947,Sonny Milano,L,WSH,28,0.0,0.0,0.0,0.0,0.0
305,8477948,Travis Sanheim,D,PHI,28,0.0,0.0,0.0,0.0,0.0
306,8477949,Alex Tuch,R,BUF,28,0.0,0.0,0.0,0.0,0.0
307,8477951,Nick Schmaltz,C,UTA,28,0.0,0.0,0.0,0.0,0.0
308,8477952,Robby Fabbri,C,ANA,28,0.0,0.0,0.0,0.0,0.0
309,8477953,Kasperi Kapanen,R,STL,28,0.0,0.0,0.0,0.0,0.0
310,8477955,Jared McCann,L,SEA,28,0.0,0.0,0.0,0.0,0.0
311,8477956,David Pastrnak,R,BOS,28,0.0,0.0,0.0,0.0,0.0
312,8477960,Adrian Kempe,R,LAK,28,0.0,0.0,0.0,0.0,0.0
313,8477962,Brendan Lemieux,L,CAR,28,0.0,0.0,0.0,0.0,0.0
314,8477964,Ivan Barbashev,C,VGK,29,0.0,0.0,0.0,0.0,0.0
315,8477969,Marcus Pettersson,D,PIT,28,0.0,0.0,0.0,0.0,0.0
316,8477971,Andreas Englund,D,LAK,28,0.0,0.0,0.0,0.0,0.0
317,8477979,Nicolas Aube-Kubel,R,BUF,28,0.0,0.0,0.0,0.0,0.0
318,8477986,Brandon Montour,D,SEA,30,0.0,0.0,0.0,0.0,0.0
319,8477987,Ryan Donato,C,CHI,28,0.0,0.0,0.0,0.0,0.0
320,8477989,Christian Dvorak,C,MTL,28,0.0,0.0,0.0,0.0,0.0
321,8477993,Justin Kirkland,C,CGY,28,0.0,0.0,0.0,0.0,0.0
